date_key,date,year,month,iso_week,day_of_week
20240405,2024-04-05,2024,4,14,5
20240406,2024-04-06,2024,4,14,6
20240407,2024-04-07,2024,4,14,7
20240408,2024-04-08,2024,4,15,1
20240409,2024-04-09,2024,4,15,2
20240410,2024-04-10,2024,4,15,3
20240411,2024-04-11,2024,4,15,4
20240412,2024-04-12,2024,4,15,5
20240413,2024-04-13,2024,4,15,6
20240414,2024-04-14,2024,4,15,7
20240415,2024-04-15,2024,4,16,1
20240416,2024-04-16,2024,4,16,2
20240417,2024-04-17,2024,4,16,3
20240418,2024-04-18,2024,4,16,4
20240419,2024-04-19,2024,4,16,5
20240420,2024-04-20,2024,4,16,6
20240421,2024-04-21,2024,4,16,7
20240422,2024-04-22,2024,4,17,1
20240423,2024-04-23,2024,4,17,2
20240424,2024-04-24,2024,4,17,3
20240425,2024-04-25,2024,4,17,4
20240426,2024-04-26,2024,4,17,5
20240427,2024-04-27,2024,4,17,6
20240428,2024-04-28,2024,4,17,7
20240429,2024-04-29,2024,4,18,1
20240430,2024-04-30,2024,4,18,2
20240501,2024-05-01,2024,5,18,3
20240502,2024-05-02,2024,5,18,4
20240503,2024-05-03,2024,5,18,5
20240504,2024-05-04,2024,5,18,6
20240505,2024-05-05,2024,5,18,7
20240506,2024-05-06,2024,5,19,1
20240507,2024-05-07,2024,5,19,2
20240508,2024-05-08,2024,5,19,3
20240509,2024-05-09,2024,5,19,4
20240510,2024-05-10,2024,5,19,5
20240511,2024-05-11,2024,5,19,6
20240512,2024-05-12,2024,5,19,7
20240513,2024-05-13,2024,5,20,1
20240514,2024-05-14,2024,5,20,2
20240515,2024-05-15,2024,5,20,3
20240516,2024-05-16,2024,5,20,4
20240517,2024-05-17,2024,5,20,5
20240518,2024-05-18,2024,5,20,6
20240519,2024-05-19,2024,5,20,7
20240520,2024-05-20,2024,5,21,1
20240521,2024-05-21,2024,5,21,2
20240522,2024-05-22,2024,5,21,3
20240523,2024-05-23,2024,5,21,4
20240524,2024-05-24,2024,5,21,5
20240525,2024-05-25,2024,5,21,6
20240526,2024-05-26,2024,5,21,7
20240527,2024-05-27,2024,5,22,1
20240528,2024-05-28,2024,5,22,2
20240529,2024-05-29,2024,5,22,3
20240530,2024-05-30,2024,5,22,4
20240531,2024-05-31,2024,5,22,5
20240601,2024-06-01,2024,6,22,6
20240602,2024-06-02,2024,6,22,7
20240603,2024-06-03,2024,6,23,1
20240604,2024-06-04,2024,6,23,2
20240605,2024-06-05,2024,6,23,3
20240606,2024-06-06,2024,6,23,4
20240607,2024-06-07,2024,6,23,5
20240608,2024-06-08,2024,6,23,6
20240609,2024-06-09,2024,6,23,7
20240610,2024-06-10,2024,6,24,1
20240611,2024-06-11,2024,6,24,2
20240612,2024-06-12,2024,6,24,3
20240613,2024-06-13,2024,6,24,4
20240614,2024-06-14,2024,6,24,5
20240615,2024-06-15,2024,6,24,6
20240616,2024-06-16,2024,6,24,7
20240617,2024-06-17,2024,6,25,1
20240618,2024-06-18,2024,6,25,2
20240619,2024-06-19,2024,6,25,3
20240620,2024-06-20,2024,6,25,4
20240621,2024-06-21,2024,6,25,5
20240622,2024-06-22,2024,6,25,6
20240623,2024-06-23,2024,6,25,7
20240624,2024-06-24,2024,6,26,1
20240625,2024-06-25,2024,6,26,2
20240626,2024-06-26,2024,6,26,3
20240627,2024-06-27,2024,6,26,4
20240628,2024-06-28,2024,6,26,5
20240629,2024-06-29,2024,6,26,6
20240630,2024-06-30,2024,6,26,7
20240701,2024-07-01,2024,7,27,1
20240702,2024-07-02,2024,7,27,2
20240703,2024-07-03,2024,7,27,3
20240704,2024-07-04,2024,7,27,4
20240705,2024-07-05,2024,7,27,5
20240706,2024-07-06,2024,7,27,6
20240707,2024-07-07,2024,7,27,7
20240708,2024-07-08,2024,7,28,1
20240709,2024-07-09,2024,7,28,2
20240710,2024-07-10,2024,7,28,3
20240711,2024-07-11,2024,7,28,4
20240712,2024-07-12,2024,7,28,5
20240713,2024-07-13,2024,7,28,6
20240714,2024-07-14,2024,7,28,7
20240715,2024-07-15,2024,7,29,1
20240716,2024-07-16,2024,7,29,2
20240717,2024-07-17,2024,7,29,3
20240718,2024-07-18,2024,7,29,4
20240719,2024-07-19,2024,7,29,5
20240720,2024-07-20,2024,7,29,6
20240721,2024-07-21,2024,7,29,7
20240722,2024-07-22,2024,7,30,1
20240723,2024-07-23,2024,7,30,2
20240724,2024-07-24,2024,7,30,3
20240725,2024-07-25,2024,7,30,4
20240726,2024-07-26,2024,7,30,5
20240727,2024-07-27,2024,7,30,6
20240728,2024-07-28,2024,7,30,7
20240729,2024-07-29,2024,7,31,1
20240730,2024-07-30,2024,7,31,2
20240731,2024-07-31,2024,7,31,3
20240801,2024-08-01,2024,8,31,4
20240802,2024-08-02,2024,8,31,5
20240803,2024-08-03,2024,8,31,6
20240804,2024-08-04,2024,8,31,7
20240805,2024-08-05,2024,8,32,1
20240806,2024-08-06,2024,8,32,2
20240807,2024-08-07,2024,8,32,3
20240808,2024-08-08,2024,8,32,4
20240809,2024-08-09,2024,8,32,5
20240810,2024-08-10,2024,8,32,6
20240811,2024-08-11,2024,8,32,7
20240812,2024-08-12,2024,8,33,1
20240813,2024-08-13,2024,8,33,2
20240814,2024-08-14,2024,8,33,3
20240815,2024-08-15,2024,8,33,4
20240816,2024-08-16,2024,8,33,5
20240817,2024-08-17,2024,8,33,6
20240818,2024-08-18,2024,8,33,7
20240819,2024-08-19,2024,8,34,1
20240820,2024-08-20,2024,8,34,2
20240821,2024-08-21,2024,8,34,3
20240822,2024-08-22,2024,8,34,4
20240823,2024-08-23,2024,8,34,5
20240824,2024-08-24,2024,8,34,6
20240825,2024-08-25,2024,8,34,7
20240826,2024-08-26,2024,8,35,1
20240827,2024-08-27,2024,8,35,2
20240828,2024-08-28,2024,8,35,3
20240829,2024-08-29,2024,8,35,4
20240830,2024-08-30,2024,8,35,5
20240831,2024-08-31,2024,8,35,6
20240901,2024-09-01,2024,9,35,7
20240902,2024-09-02,2024,9,36,1
20240903,2024-09-03,2024,9,36,2
20240904,2024-09-04,2024,9,36,3
20240905,2024-09-05,2024,9,36,4
20240906,2024-09-06,2024,9,36,5
20240907,2024-09-07,2024,9,36,6
20240908,2024-09-08,2024,9,36,7
20240909,2024-09-09,2024,9,37,1
20240910,2024-09-10,2024,9,37,2
20240911,2024-09-11,2024,9,37,3
20240912,2024-09-12,2024,9,37,4
20240913,2024-09-13,2024,9,37,5
20240914,2024-09-14,2024,9,37,6
20240915,2024-09-15,2024,9,37,7
20240916,2024-09-16,2024,9,38,1
20240917,2024-09-17,2024,9,38,2
20240918,2024-09-18,2024,9,38,3
20240919,2024-09-19,2024,9,38,4
20240920,2024-09-20,2024,9,38,5
20240921,2024-09-21,2024,9,38,6
20240922,2024-09-22,2024,9,38,7
20240923,2024-09-23,2024,9,39,1
20240924,2024-09-24,2024,9,39,2
20240925,2024-09-25,2024,9,39,3
20240926,2024-09-26,2024,9,39,4
20240927,2024-09-27,2024,9,39,5
20240928,2024-09-28,2024,9,39,6
20240929,2024-09-29,2024,9,39,7
20240930,2024-09-30,2024,9,40,1
20241001,2024-10-01,2024,10,40,2
20241002,2024-10-02,2024,10,40,3
20241003,2024-10-03,2024,10,40,4
20241004,2024-10-04,2024,10,40,5
20241005,2024-10-05,2024,10,40,6
20241006,2024-10-06,2024,10,40,7
20241007,2024-10-07,2024,10,41,1
20241008,2024-10-08,2024,10,41,2
20241009,2024-10-09,2024,10,41,3
20241010,2024-10-10,2024,10,41,4
20241011,2024-10-11,2024,10,41,5
20241012,2024-10-12,2024,10,41,6
20241013,2024-10-13,2024,10,41,7
20241014,2024-10-14,2024,10,42,1
20241015,2024-10-15,2024,10,42,2
20241016,2024-10-16,2024,10,42,3
20241017,2024-10-17,2024,10,42,4
20241018,2024-10-18,2024,10,42,5
20241019,2024-10-19,2024,10,42,6
20241020,2024-10-20,2024,10,42,7
20241021,2024-10-21,2024,10,43,1
20241022,2024-10-22,2024,10,43,2
20241023,2024-10-23,2024,10,43,3
20241024,2024-10-24,2024,10,43,4
20241025,2024-10-25,2024,10,43,5
20241026,2024-10-26,2024,10,43,6
20241027,2024-10-27,2024,10,43,7
20241028,2024-10-28,2024,10,44,1
20241029,2024-10-29,2024,10,44,2
20241030,2024-10-30,2024,10,44,3
20241031,2024-10-31,2024,10,44,4
20241101,2024-11-01,2024,11,44,5
20241102,2024-11-02,2024,11,44,6
20241103,2024-11-03,2024,11,44,7
20241104,2024-11-04,2024,11,45,1
20241105,2024-11-05,2024,11,45,2
20241106,2024-11-06,2024,11,45,3
20241107,2024-11-07,2024,11,45,4
20241108,2024-11-08,2024,11,45,5
20241109,2024-11-09,2024,11,45,6
20241110,2024-11-10,2024,11,45,7
20241111,2024-11-11,2024,11,46,1
20241112,2024-11-12,2024,11,46,2
20241113,2024-11-13,2024,11,46,3
20241114,2024-11-14,2024,11,46,4
20241115,2024-11-15,2024,11,46,5
20241116,2024-11-16,2024,11,46,6
20241117,2024-11-17,2024,11,46,7
20241118,2024-11-18,2024,11,47,1
20241119,2024-11-19,2024,11,47,2
20241120,2024-11-20,2024,11,47,3
20241121,2024-11-21,2024,11,47,4
20241122,2024-11-22,2024,11,47,5
20241123,2024-11-23,2024,11,47,6
20241124,2024-11-24,2024,11,47,7
20241125,2024-11-25,2024,11,48,1
20241126,2024-11-26,2024,11,48,2
20241127,2024-11-27,2024,11,48,3
20241128,2024-11-28,2024,11,48,4
20241129,2024-11-29,2024,11,48,5
20241130,2024-11-30,2024,11,48,6
20241201,2024-12-01,2024,12,48,7
20241202,2024-12-02,2024,12,49,1
20241203,2024-12-03,2024,12,49,2
20241204,2024-12-04,2024,12,49,3
20241205,2024-12-05,2024,12,49,4
20241206,2024-12-06,2024,12,49,5
20241207,2024-12-07,2024,12,49,6
20241208,2024-12-08,2024,12,49,7
20241209,2024-12-09,2024,12,50,1
20241210,2024-12-10,2024,12,50,2
20241211,2024-12-11,2024,12,50,3
20241212,2024-12-12,2024,12,50,4
20241213,2024-12-13,2024,12,50,5
20241214,2024-12-14,2024,12,50,6
20241215,2024-12-15,2024,12,50,7
20241216,2024-12-16,2024,12,51,1
20241217,2024-12-17,2024,12,51,2
20241218,2024-12-18,2024,12,51,3
20241219,2024-12-19,2024,12,51,4
20241220,2024-12-20,2024,12,51,5
20241221,2024-12-21,2024,12,51,6
20241222,2024-12-22,2024,12,51,7
20241223,2024-12-23,2024,12,52,1
20241224,2024-12-24,2024,12,52,2
20241225,2024-12-25,2024,12,52,3
20241226,2024-12-26,2024,12,52,4
20241227,2024-12-27,2024,12,52,5
20241228,2024-12-28,2024,12,52,6
20241229,2024-12-29,2024,12,52,7
20241230,2024-12-30,2024,12,1,1
20241231,2024-12-31,2024,12,1,2
20250101,2025-01-01,2025,1,1,3
20250102,2025-01-02,2025,1,1,4
20250103,2025-01-03,2025,1,1,5
20250104,2025-01-04,2025,1,1,6
20250105,2025-01-05,2025,1,1,7
20250106,2025-01-06,2025,1,2,1
20250107,2025-01-07,2025,1,2,2
20250108,2025-01-08,2025,1,2,3
20250109,2025-01-09,2025,1,2,4
20250110,2025-01-10,2025,1,2,5
20250111,2025-01-11,2025,1,2,6
20250112,2025-01-12,2025,1,2,7
20250113,2025-01-13,2025,1,3,1
20250114,2025-01-14,2025,1,3,2
20250115,2025-01-15,2025,1,3,3
20250116,2025-01-16,2025,1,3,4
20250117,2025-01-17,2025,1,3,5
20250118,2025-01-18,2025,1,3,6
20250119,2025-01-19,2025,1,3,7
20250120,2025-01-20,2025,1,4,1
20250121,2025-01-21,2025,1,4,2
20250122,2025-01-22,2025,1,4,3
20250123,2025-01-23,2025,1,4,4
20250124,2025-01-24,2025,1,4,5
20250125,2025-01-25,2025,1,4,6
20250126,2025-01-26,2025,1,4,7
20250127,2025-01-27,2025,1,5,1
20250128,2025-01-28,2025,1,5,2
20250129,2025-01-29,2025,1,5,3
20250130,2025-01-30,2025,1,5,4
20250131,2025-01-31,2025,1,5,5
20250201,2025-02-01,2025,2,5,6
20250202,2025-02-02,2025,2,5,7
20250203,2025-02-03,2025,2,6,1
20250204,2025-02-04,2025,2,6,2
20250205,2025-02-05,2025,2,6,3
20250206,2025-02-06,2025,2,6,4
20250207,2025-02-07,2025,2,6,5
20250208,2025-02-08,2025,2,6,6
20250209,2025-02-09,2025,2,6,7
20250210,2025-02-10,2025,2,7,1
20250211,2025-02-11,2025,2,7,2
20250212,2025-02-12,2025,2,7,3
20250213,2025-02-13,2025,2,7,4
20250214,2025-02-14,2025,2,7,5
20250215,2025-02-15,2025,2,7,6
20250216,2025-02-16,2025,2,7,7
20250217,2025-02-17,2025,2,8,1
20250218,2025-02-18,2025,2,8,2
20250219,2025-02-19,2025,2,8,3
20250220,2025-02-20,2025,2,8,4
20250221,2025-02-21,2025,2,8,5
20250222,2025-02-22,2025,2,8,6
20250223,2025-02-23,2025,2,8,7
20250224,2025-02-24,2025,2,9,1
20250225,2025-02-25,2025,2,9,2
20250226,2025-02-26,2025,2,9,3
20250227,2025-02-27,2025,2,9,4
20250228,2025-02-28,2025,2,9,5
